,rpi,sos,team_id,year
287,0.583,60,1344,2016
288,0.5829,141,1343,2016
289,0.5822,163,1388,2016
290,0.5817,9,1458,2016
291,0.5806,70,1361,2016
292,0.5797,276,1114,2016
293,0.5792,178,1463,2016
294,0.578,71,1153,2016
295,0.5766,125,1211,2016
296,0.5765,38,1425,2016
297,0.5765,158,1423,2016
298,0.576,179,1434,2016
299,0.576,119,1455,2016
300,0.665,37,1437,2017
301,0.655,24,1112,2017
302,0.653,35,1242,2017
303,0.648,23,1246,2017
304,0.647,14,1314,2017
305,0.646,9,1181,2017
306,0.645,2,1257,2017
307,0.644,102,1211,2017
308,0.643,44,1332,2017
309,0.64,8,1196,2017
310,0.639,5,1124,2017
311,0.633,66,1153,2017
312,0.631,20,1199,2017
313,0.626,13,1139,2017
314,0.624,93,1374,2017
315,0.624,106,1417,2017
316,0.621,78,1388,2017
317,0.614,56,1433,2017
318,0.613,62,1345,2017
319,0.612,17,1278,2017
320,0.611,28,1235,2017
321,0.61,4,1438,2017
322,0.609,34,1323,2017
323,0.605,72,1452,2017
324,0.604,58,1116,2017
325,0.603,50,1166,2017
326,0.602,145,1423,2017
327,0.601,144,1305,2017
328,0.601,71,1173,2017
329,0.599,26,1276,2017
330,0.598,186,1455,2017
331,0.597,54,1268,2017
332,0.597,83,1458,2017
333,0.597,158,1229,2017
334,0.596,167,1292,2017
335,0.593,16,1462,2017
336,0.593,51,1348,2017
337,0.592,1,1435,2017
338,0.588,21,1448,2017
339,0.588,15,1329,2017
340,0.587,41,1274,2017
341,0.587,47,1376,2017
342,0.587,76,1425,2017
343,0.586,143,1426,2017
344,0.586,52,1371,2017
345,0.584,222,1436,2017
346,0.582,75,1439,2017
347,0.579,165,1343,2017
348,0.579,216,1284,2017
349,0.579,64,1321,2017
